"someNumbers" "aChar"
0.0609783376102665 "a"
2.18949305788035 "a"
0.299493123178239 "a"
-1.09660072282628 "a"
-0.810339543540554 "a"
0.840756359236012 "a"
1.69292790060681 "a"
-0.54209074517947 "a"
0.516717564238612 "a"
-1.92406193161157 "a"
1.14847505720284 "a"
-1.13672064485036 "a"
-0.479124328119615 "a"
0.292299885671367 "a"
-0.8582253745174 "a"
0.256419414172024 "a"
-0.933713728607167 "a"
-0.927937252961912 "a"
-0.418873761474144 "a"
0.20218756240056 "a"
-0.494964267511388 "a"
-0.47341701808746 "a"
-0.698135697657283 "a"
-0.506344069680635 "a"
0.0466682200435025 "a"
-0.914391541385597 "a"
0.445723198300565 "a"
-1.2561414250537 "a"
-1.23310263773932 "a"
0.709580265765681 "a"
-0.292126532551628 "a"
-0.2971968620471 "a"
1.05692336734435 "a"
0.926017775694688 "a"
-0.105345133629423 "a"
0.17481651588338 "a"
-1.05315912352538 "a"
-0.232472743202279 "a"
1.92110236334331 "a"
0.242787894234827 "a"
-0.604214127685313 "a"
-0.813012807682263 "a"
-0.824690445372445 "a"
0.715678151215979 "a"
-0.0180041682104868 "a"
0.138555213126723 "a"
1.00197851094992 "a"
-1.48830933936765 "a"
-0.121462372315196 "a"
-0.726637280940372 "a"
0.0944009324875928 "a"
1.15500003667668 "a"
1.07572833722252 "a"
1.82557136559228 "a"
1.15654194242324 "a"
0.195914463701056 "a"
1.04247148138136 "a"
-1.15458963632285 "a"
0.6641422054793 "a"
-0.653021717775858 "a"
-0.885867488237739 "a"
-0.906791320485344 "a"
-0.86249066090112 "a"
-0.659612465130617 "a"
0.756584149150399 "a"
-1.30624532284404 "a"
-1.04417540385131 "a"
-0.123078483924361 "a"
1.01523105694035 "a"
0.201555503350254 "a"
-0.702650165886227 "a"
0.0278952202173084 "a"
0.0195471586795082 "a"
0.117726582450627 "a"
-1.5027767216337 "a"
0.365205465477847 "a"
-0.173062239802039 "a"
1.40346838265458 "a"
0.403997752894186 "a"
-0.582983183287949 "a"
-0.474947566283714 "a"
0.279462927119746 "a"
0.0188004892580093 "a"
-0.0535635557533517 "a"
-1.0607380112796 "a"
0.206705375794818 "a"
-0.478145432675259 "a"
-0.977089889758617 "a"
1.32654017908261 "a"
-0.828511515875932 "a"
0.0655322361173905 "a"
-0.941975411148595 "a"
-1.43960277512067 "a"
1.23065660063308 "a"
0.0164871909483568 "a"
0.609030776329993 "a"
-0.348751729179797 "a"
0.94607482688578 "a"
-0.105009583139335 "a"
0.797692741420026 "a"
